origin_label,dest_label,path_distance,path_node_ids
gate_171,gate_FG2043,244.99808356039907,54|13|14|11|5|6|57|77
gate_171,gate_FG2037,110.4888655341689,54|13|14|11|12
gate_171,gate_FG2085,166.92732493173543,54|13|14|11|5|4|8
gate_171,gate_FG2041,250.44158685896144,54|13|14|11|5|6|57|78
gate_171,gate_FG2035,106.87126568236272,54|13|14|11|10
gate_171,gate_FG2089,171.76205622905573,54|13|14|11|5|4|9
gate_171,gate_FG2055,405.57535634765105,54|13|14|11|5|6|57|77|80|81|85|84
gate_172,gate_171,260.01490975670026,91|89|90|2|3|4|5|11|14|13|54
gate_172,gate_173,68.85486723792104,91|89|90|2|1|0
gate_172,gate_174,229.1187721040844,91|89|90|2|3|4|8|58|76|75|74
gate_172,gate_175,234.86848349281837,91|89|90|2|3|4|8|58|76|73|72
gate_172,gate_176,303.0907777260668,91|89|90|2|3|4|5|6|57|51|50|52|55
gate_172,gate_177,325.42019181411604,91|89|90|2|3|4|5|6|57|51|50|49|56
gate_172,gate_178,352.06671773216726,91|89|90|2|3|4|5|6|57|77|80|70|69|68|71|88
gate_172,gate_179,372.33576769967675,91|89|90|2|3|4|5|6|57|77|80|70|69|68|67|66|87
gate_172,gate_180,499.07294265724886,91|89|90|2|3|4|5|6|57|77|80|81|85|64|63|62|65|82
gate_172,gate_181,481.3677975489215,91|89|90|2|3|4|5|6|57|77|80|81|85|64|63|62|61|60|83
gate_172,gate_170,242.3047071748619,91|89|90|2|3|4|5|11|14|15|16|53
gate_172,gate_168,324.64659648911703,91|89|90|2|3|4|5|6|7|47|46
gate_172,gate_169,318.3570962778429,91|89|90|2|3|4|5|6|7|48
gate_172,gate_166A,367.21375993114395,91|89|90|2|3|4|5|6|7|47|45|43|39|38
gate_172,gate_166B,367.43067857907914,91|89|90|2|3|4|5|6|7|47|45|43|39|41|40
gate_172,gate_167,360.90417631177087,91|89|90|2|3|4|5|6|7|47|45|43|39|41|37|36
gate_172,gate_165,441.40207633222445,91|89|90|2|3|4|5|6|7|47|45|43|39|41|37|35|33|31|30
gate_172,gate_164A,456.5872102241532,91|89|90|2|3|4|5|6|7|47|45|43|39|41|37|35|33|31|29|28
gate_172,gate_164B,457.52570588638736,91|89|90|2|3|4|5|6|7|47|45|43|39|41|37|35|33|31|29|27|26
gate_172,gate_163,469.850105333582,91|89|90|2|3|4|5|6|7|47|45|43|39|41|37|35|33|31|29|27|23|22
gate_172,gate_162,488.7331841538175,91|89|90|2|3|4|5|6|7|47|45|43|39|41|37|35|33|31|29|27|23|24|25
gate_172,gate_161,506.45041558818707,91|89|90|2|3|4|5|6|7|47|45|43|39|41|37|35|33|31|29|27|23|24|18|17
gate_172,gate_160,529.9249997847689,91|89|90|2|3|4|5|6|7|47|45|43|39|41|37|35|33|31|29|27|23|24|18|19|20
gate_172,gate_FE2097,391.6163058010411,91|89|90|2|3|4|5|6|7|47|45|43|39|41|37|35|33|32
gate_172,gate_FE2095,382.6965971673656,91|89|90|2|3|4|5|6|7|47|45|43|39|41|37|35|34
gate_172,gate_FF2025,305.83156434954367,91|89|90|2|3|4|5|6|7|47|45|43|42
gate_172,gate_FF2031,299.6465885025109,91|89|90|2|3|4|5|6|7|47|45|44
gate_172,gate_FG2057,401.4019706394631,91|89|90|2|3|4|5|6|57|77|80|81|85|64|86
gate_172,gate_FG2043,234.25895749283208,91|89|90|2|3|4|5|6|57|77
gate_172,gate_FG2037,192.33057778072086,91|89|90|2|3|4|5|11|12
gate_172,gate_FG2085,110.7006970429885,91|89|90|2|3|4|8
gate_172,gate_FG2041,239.70246079139446,91|89|90|2|3|4|5|6|57|78
gate_172,gate_FG2035,188.71297792891468,91|89|90|2|3|4|5|11|10
gate_172,gate_FG2089,115.53542834030877,91|89|90|2|3|4|9
gate_172,gate_FG2055,394.83623028008407,91|89|90|2|3|4|5|6|57|77|80|81|85|84
gate_173,gate_171,249.76519232480322,0|1|2|3|4|5|11|14|13|54
gate_173,gate_172,68.85486723792103,0|1|2|90|89|91
gate_173,gate_174,218.86905467218733,0|1|2|3|4|8|58|76|75|74
gate_173,gate_175,224.6187660609213,0|1|2|3|4|8|58|76|73|72
gate_173,gate_176,292.8410602941697,0|1|2|3|4|5|6|57|51|50|52|55
gate_173,gate_177,315.17047438221897,0|1|2|3|4|5|6|57|51|50|49|56
gate_173,gate_178,341.81700030027014,0|1|2|3|4|5|6|57|77|80|70|69|68|71|88
gate_173,gate_179,362.0860502677797,0|1|2|3|4|5|6|57|77|80|70|69|68|67|66|87
gate_173,gate_180,488.8232252253518,0|1|2|3|4|5|6|57|77|80|81|85|64|63|62|65|82
gate_173,gate_181,471.1180801170244,0|1|2|3|4|5|6|57|77|80|81|85|64|63|62|61|60|83
gate_173,gate_170,232.05498974296484,0|1|2|3|4|5|11|14|15|16|53
gate_173,gate_168,314.39687905721996,0|1|2|3|4|5|6|7|47|46
gate_173,gate_169,308.10737884594585,0|1|2|3|4|5|6|7|48
gate_173,gate_166A,356.96404249924683,0|1|2|3|4|5|6|7|47|45|43|39|38
gate_173,gate_166B,357.180961147182,0|1|2|3|4|5|6|7|47|45|43|39|41|40
gate_173,gate_167,350.65445887987374,0|1|2|3|4|5|6|7|47|45|43|39|41|37|36
gate_173,gate_165,431.15235890032733,0|1|2|3|4|5|6|7|47|45|43|39|41|37|35|33|31|30
gate_173,gate_164A,446.33749279225606,0|1|2|3|4|5|6|7|47|45|43|39|41|37|35|33|31|29|28
gate_173,gate_164B,447.27598845449023,0|1|2|3|4|5|6|7|47|45|43|39|41|37|35|33|31|29|27|26
gate_173,gate_163,459.6003879016849,0|1|2|3|4|5|6|7|47|45|43|39|41|37|35|33|31|29|27|23|22
gate_173,gate_162,478.48346672192037,0|1|2|3|4|5|6|7|47|45|43|39|41|37|35|33|31|29|27|23|24|25
gate_173,gate_161,496.20069815628995,0|1|2|3|4|5|6|7|47|45|43|39|41|37|35|33|31|29|27|23|24|18|17
gate_173,gate_160,519.6752823528718,0|1|2|3|4|5|6|7|47|45|43|39|41|37|35|33|31|29|27|23|24|18|19|20
gate_173,gate_FE2097,381.366588369144,0|1|2|3|4|5|6|7|47|45|43|39|41|37|35|33|32
gate_173,gate_FE2095,372.4468797354685,0|1|2|3|4|5|6|7|47|45|43|39|41|37|35|34
gate_173,gate_FF2025,295.5818469176466,0|1|2|3|4|5|6|7|47|45|43|42
gate_173,gate_FF2031,289.3968710706138,0|1|2|3|4|5|6|7|47|45|44
gate_173,gate_FG2057,391.15225320756605,0|1|2|3|4|5|6|57|77|80|81|85|64|86
gate_173,gate_FG2043,224.009240060935,0|1|2|3|4|5|6|57|77
gate_173,gate_FG2037,182.0808603488238,0|1|2|3|4|5|11|12
gate_173,gate_FG2085,100.45097961109143,0|1|2|3|4|8
gate_173,gate_FG2041,229.4527433594974,0|1|2|3|4|5|6|57|78
gate_173,gate_FG2035,178.46326049701761,0|1|2|3|4|5|11|10
gate_173,gate_FG2089,105.2857109084117,0|1|2|3|4|9
