DepTimeDateTime,FlightCount,Subdir
2022-01-16,14206,2022-1
2022-01-17,16938,2022-1
2022-01-18,16150,2022-1
2022-01-19,16503,2022-1
2022-01-20,17904,2022-1
2022-01-21,17956,2022-1
2022-01-22,14531,2022-1
2022-01-23,17781,2022-1
2022-01-24,17692,2022-1
2022-01-25,16049,2022-1
2022-01-26,16663,2022-1
2022-01-27,18332,2022-1
2022-01-28,17243,2022-1
2022-01-29,12025,2022-1
2022-01-30,16698,2022-1
2022-01-31,17758,2022-1
2022-02-01,16099,2022-2
2022-02-02,14765,2022-2
2022-02-03,13866,2022-2
2022-02-04,15075,2022-2
2022-02-05,13887,2022-2
2022-02-06,17464,2022-2
2022-02-07,18082,2022-2
2022-02-08,16452,2022-2
2022-02-09,16939,2022-2
2022-02-10,18530,2022-2
2022-02-11,18525,2022-2
2022-02-12,15189,2022-2
2022-02-13,17156,2022-2
2022-02-14,18471,2022-2
2022-02-15,16632,2022-2
2022-02-16,17174,2022-2
2022-02-17,17799,2022-2
2022-02-18,18707,2022-2
2022-02-19,15687,2022-2
2022-02-20,17519,2022-2
2022-02-21,18825,2022-2
2022-02-22,17105,2022-2
2022-02-23,16261,2022-2
2022-02-24,17073,2022-2
2022-02-25,17789,2022-2
2022-02-26,15898,2022-2
2022-02-27,18471,2022-2
2022-02-28,18827,2022-2
2022-03-01,17184,2022-3
2022-03-02,17577,2022-3
2022-03-03,18677,2022-3
2022-03-04,18526,2022-3
2022-03-05,15894,2022-3
2022-03-06,18085,2022-3
2022-03-07,18375,2022-3
2022-03-08,16823,2022-3
2022-03-09,16819,2022-3
2022-03-10,18838,2022-3
2022-03-11,18709,2022-3
2022-03-12,15697,2022-3
2022-03-13,18022,2022-3
2022-03-14,18673,2022-3
2022-03-15,17236,2022-3
2022-03-16,17629,2022-3
2022-03-17,18566,2022-3
2022-03-18,18681,2022-3
2022-03-19,16940,2022-3
2022-03-20,18840,2022-3
2022-03-21,18408,2022-3
2022-03-22,17343,2022-3
2022-03-23,17742,2022-3
2022-03-24,19178,2022-3
2022-03-25,19233,2022-3
2022-03-26,17036,2022-3
2022-03-27,18847,2022-3
2022-03-28,19064,2022-3
2022-03-29,17446,2022-3
2022-03-30,17660,2022-3
2022-03-31,18675,2022-3
2022-04-01,18509,2022-4
2022-04-02,15051,2022-4
2022-04-03,17586,2022-4
2022-04-04,18370,2022-4
2022-04-05,17517,2022-4
2022-04-06,18120,2022-4
2022-04-07,18362,2022-4
2022-04-08,18725,2022-4
2022-04-09,16041,2022-4
2022-04-10,18534,2022-4
2022-04-11,19073,2022-4
2022-04-12,17892,2022-4
2022-04-13,18147,2022-4
2022-04-14,18900,2022-4
2022-04-15,19030,2022-4
2022-04-16,16211,2022-4
2022-04-17,18711,2022-4
2022-04-18,19092,2022-4
2022-04-19,18004,2022-4
2022-04-20,18356,2022-4
2022-04-21,19285,2022-4
2022-04-22,19245,2022-4
2022-04-23,16284,2022-4
2022-04-24,18699,2022-4
2022-04-25,18957,2022-4
2022-04-26,17980,2022-4
2022-04-27,18361,2022-4
2022-04-28,19249,2022-4
2022-04-29,19300,2022-4
2022-04-30,16226,2022-4
2022-05-01,18570,2022-5
2022-05-02,19044,2022-5
2022-05-03,17978,2022-5
2022-05-04,18148,2022-5
2022-05-05,19118,2022-5
2022-05-06,19124,2022-5
2022-05-07,16254,2022-5
2022-05-08,18872,2022-5
2022-05-09,19340,2022-5
2022-05-10,18057,2022-5
2022-05-11,18303,2022-5
2022-05-12,19436,2022-5
2022-05-13,19209,2022-5
2022-05-14,16182,2022-5
2022-05-15,18840,2022-5
2022-05-16,18559,2022-5
2022-05-17,17858,2022-5
2022-05-18,18328,2022-5
2022-05-19,19474,2022-5
2022-05-20,18611,2022-5
2022-05-21,15896,2022-5
2022-05-22,18161,2022-5
2022-05-23,19011,2022-5
2022-05-24,17663,2022-5
2022-05-25,18282,2022-5
2022-05-26,19422,2022-5
2022-05-27,18551,2022-5
2022-05-28,16032,2022-5
2022-05-29,17998,2022-5
2022-05-30,19228,2022-5
2022-05-31,18269,2022-5
2022-06-01,17729,2022-6
2022-06-02,18057,2022-6
2022-06-03,18878,2022-6
2022-06-04,16311,2022-6
2022-06-05,19343,2022-6
2022-06-06,19622,2022-6
2022-06-07,18705,2022-6
2022-06-08,18882,2022-6
2022-06-09,19435,2022-6
2022-06-10,19573,2022-6
2022-06-11,17322,2022-6
2022-06-12,18933,2022-6
2022-06-13,19485,2022-6
2022-06-14,18538,2022-6
2022-06-15,18923,2022-6
2022-06-16,18339,2022-6
2022-06-17,18750,2022-6
2022-06-18,16968,2022-6
2022-06-19,18980,2022-6
2022-06-20,19647,2022-6
2022-06-21,18802,2022-6
2022-06-22,18071,2022-6
2022-06-23,19238,2022-6
2022-06-24,19362,2022-6
2022-06-25,17218,2022-6
2022-06-26,19026,2022-6
2022-06-27,19091,2022-6
2022-06-28,18428,2022-6
2022-06-29,18739,2022-6
2022-06-30,19606,2022-6
2022-07-01,19563,2022-7
2022-07-02,17156,2022-7
2022-07-03,17951,2022-7
2022-07-04,18891,2022-7
2022-07-05,18453,2022-7
2022-07-06,18425,2022-7
2022-07-07,19399,2022-7
2022-07-08,19454,2022-7
2022-07-09,17621,2022-7
2022-07-10,19617,2022-7
